iter	Passed	Remaining
1444	6587	2530
1445	6591	2525
1446	6595	2520
1447	6598	2515
1448	6602	2510
1449	6606	2505
1450	6609	2500
1451	6613	2496
1452	6617	2491
1453	6621	2486
1454	6624	2481
1455	6628	2476
1456	6632	2471
1457	6636	2467
1458	6640	2462
1459	6644	2457
1460	6647	2452
1461	6651	2447
1462	6655	2442
1463	6659	2438
1464	6662	2433
1465	6666	2428
1466	6670	2423
1467	6674	2418
1468	6677	2413
1469	6681	2409
1470	6685	2404
1471	6689	2399
1472	6692	2394
1473	6696	2389
1474	6700	2384
1475	6704	2380
1476	6707	2375
1477	6711	2370
1478	6715	2365
1479	6718	2360
1480	6722	2355
1481	6726	2351
1482	6730	2346
1483	6733	2341
1484	6737	2336
1485	6741	2331
1486	6745	2326
1487	6748	2322
1488	6752	2317
1489	6757	2312
1490	6760	2308
1491	6764	2303
1492	6768	2298
1493	6772	2293
1494	6776	2289
1495	6781	2284
1496	6784	2279
1497	6788	2274
1498	6792	2270
1499	6796	2265
1500	6799	2260
1501	6803	2255
1502	6807	2251
1503	6811	2246
1504	6814	2241
1505	6818	2236
1506	6822	2232
1507	6826	2227
1508	6830	2222
1509	6834	2217
1510	6838	2212
1511	6841	2208
1512	6845	2203
1513	6849	2198
1514	6852	2193
1515	6856	2188
1516	6860	2184
1517	6863	2179
1518	6867	2174
1519	6871	2169
1520	6875	2165
1521	6878	2160
1522	6882	2155
1523	6886	2150
1524	6890	2146
1525	6893	2141
1526	6897	2136
1527	6901	2131
1528	6905	2127
1529	6909	2122
1530	6913	2117
1531	6916	2112
1532	6920	2108
1533	6924	2103
1534	6927	2098
1535	6931	2094
1536	6935	2089
1537	6939	2084
1538	6942	2079
1539	6946	2075
1540	6950	2070
1541	6954	2065
1542	6958	2060
1543	6961	2056
1544	6965	2051
1545	6969	2046
1546	6972	2041
1547	6976	2037
1548	6980	2032
1549	6984	2027
1550	6987	2022
1551	6991	2018
1552	6994	2013
1553	6998	2008
1554	7001	2003
1555	7005	1998
1556	7009	1994
1557	7012	1989
1558	7016	1984
1559	7020	1980
1560	7024	1975
1561	7027	1970
1562	7031	1965
1563	7034	1961
1564	7038	1956
1565	7041	1951
1566	7045	1946
1567	7048	1942
1568	7052	1937
1569	7056	1932
1570	7059	1927
1571	7062	1922
1572	7066	1918
1573	7070	1913
1574	7074	1908
1575	7078	1904
1576	7082	1899
1577	7086	1895
1578	7090	1890
1579	7093	1885
1580	7097	1881
1581	7101	1876
